date,temp_avg,precipitation,is_workday,average_traffic_index
2023-06-16,22.2,0.0,1.0,36.316901408450704
2023-06-17,21.6,5.1,0.0,33.88461538461539
2023-06-18,21.4,1.5,0.0,24.48951048951049
2023-06-19,21.0,15.3,1.0,34.55244755244755
2023-06-20,21.0,10.0,1.0,37.01754385964912
2023-06-21,22.4,0.1,1.0,38.4808362369338
2023-06-22,22.8,0.1,1.0,39.1875
2023-06-23,23.5,0.0,1.0,36.75778546712803
2023-06-24,24.0,0.0,0.0,33.10697674418605
2023-06-25,23.0,0.0,0.0,14.118577075098814
2023-06-26,23.3,0.1,0.0,13.338129496402878
2023-06-27,23.8,0.3,0.0,7.885057471264368
2023-06-28,24.4,0.0,0.0,14.097560975609756
2023-06-29,20.6,1.6,0.0,16.91166077738516
2023-06-30,21.0,0.0,0.0,15.18815331010453
2023-07-01,23.1,0.0,0.0,13.54006968641115
2023-07-02,25.2,0.0,0.0,8.65079365079365
2023-07-03,25.7,0.4,1.0,22.7984496124031
2023-07-04,25.2,0.0,1.0,27.03859649122807
2023-07-05,24.9,0.0,1.0,40.2463768115942
2023-07-06,25.8,1.0,1.0,31.130742049469966
2023-07-07,26.2,0.9,1.0,32.879003558718864
2023-07-08,22.6,21.6,0.0,32.7429718875502
2023-07-09,22.7,0.4,0.0,21.248251748251747
2023-07-10,23.7,0.0,1.0,39.465437788018434
2023-07-11,24.7,0.0,1.0,33.16319444444444
2023-07-12,26.7,0.3,1.0,34.56140350877193
2023-07-13,28.1,0.0,1.0,32.94773519163763
2023-07-14,29.2,0.0,1.0,33.5
2023-07-15,26.5,0.0,0.0,23.180555555555557
2023-07-16,24.8,0.0,0.0,27.323353293413174
2023-07-17,24.8,0.0,1.0,29.6013986013986
2023-07-18,24.8,0.0,1.0,30.801393728222997
2023-07-19,25.6,0.0,1.0,31.434931506849313
2023-07-20,28.1,0.0,1.0,42.48529411764706
2023-07-21,26.9,0.0,1.0,30.857142857142858
2023-07-22,28.4,0.0,0.0,25.29824561403509
2023-07-23,29.0,0.2,0.0,18.511111111111113
2023-07-24,26.2,0.0,1.0,30.425087108013937
2023-07-25,27.1,0.0,1.0,42.40909090909091
